design,rep,method,frobenius_relative,realized_variance,calibration
ar1_gaussian,40,residual_qr_50,0.3970127594270246,2.8050812686288973e-06,1.2806771435733573
ar1_gaussian,41,sample,0.47501638645681543,1.2853169921203854e-06,0.6902355118794284
ar1_gaussian,41,ledoit_wolf,0.4781334666192183,1.2610094119638759e-06,0.6321539587127615
ar1_gaussian,41,oas,0.4780593191786615,1.2615703530125224e-06,0.6335484241112274
ar1_gaussian,41,pca4,0.4695894743403651,1.073821226422509e-06,0.512901149290261
ar1_gaussian,41,structured_q0,0.47539018088510127,1.0814782699332433e-06,0.4842479800649056
ar1_gaussian,41,residual_qr_50,0.47510256448538263,1.138307780075064e-06,0.5387907565324377
ar1_gaussian,42,sample,0.4380678470512391,2.734356065839494e-06,1.4750994714600498
ar1_gaussian,42,ledoit_wolf,0.4352670583615944,2.66496911153199e-06,1.3306907718873697
ar1_gaussian,42,oas,0.4351958125495539,2.663092994607967e-06,1.3265689233284714
ar1_gaussian,42,pca4,0.43898653888376876,2.4062691607202267e-06,1.2303997240150577
ar1_gaussian,42,structured_q0,0.43857733056923426,2.4116020944209e-06,1.1542850632975687
ar1_gaussian,42,residual_qr_50,0.4382241284114537,2.436423248375723e-06,1.1877683316035121
ar1_gaussian,43,sample,0.47212543601665313,2.229448571722745e-06,1.2295014511480358
ar1_gaussian,43,ledoit_wolf,0.474683693853277,2.194675369333165e-06,1.1404680561231326
ar1_gaussian,43,oas,0.47474166968568093,2.193919780762343e-06,1.1383897688305773
ar1_gaussian,43,pca4,0.46943775403808125,2.0700216504934857e-06,1.1489712903858043
ar1_gaussian,43,structured_q0,0.4719630539557905,2.0798855119886038e-06,1.0768593321414828
ar1_gaussian,43,residual_qr_50,0.4719640707627844,2.074505526715484e-06,1.07859044013689
ar1_gaussian,44,sample,0.7454657116444136,2.348354230597591e-06,1.3919846972391445
ar1_gaussian,44,ledoit_wolf,0.7356004601218672,2.3172886140917254e-06,1.282002370536688
ar1_gaussian,44,oas,0.7350027029584096,2.315301124169043e-06,1.274606767069167
ar1_gaussian,44,pca4,0.7493256256427779,2.1750721206220722e-06,1.2486704208967008
ar1_gaussian,44,structured_q0,0.7450519116112325,2.1831696165197737e-06,1.1635165161592376
ar1_gaussian,44,residual_qr_50,0.7451858224744845,2.2022374190282246e-06,1.1920671063809414
ar1_gaussian,45,sample,0.6269896092404449,2.812035070917572e-06,1.1638298585985243
ar1_gaussian,45,ledoit_wolf,0.6172127485282171,2.7675603682779863e-06,1.0788347934631624
ar1_gaussian,45,oas,0.6172223790241895,2.7676067842125363e-06,1.0789279259082647
ar1_gaussian,45,pca4,0.6323604614410868,2.4772279981419503e-06,1.1906159006247874
ar1_gaussian,45,structured_q0,0.6267882585905399,2.4988446394678616e-06,1.122658909481353
ar1_gaussian,45,residual_qr_50,0.6267973388934894,2.5936934432067797e-06,1.0910732700082013
ar1_gaussian,46,sample,0.648303800295445,1.7076194999870503e-06,1.1542840519487911
ar1_gaussian,46,ledoit_wolf,0.6396997410032381,1.6701496854066809e-06,1.040655651297035
ar1_gaussian,46,oas,0.6395389823643118,1.66943718005261e-06,1.0383731588803815
ar1_gaussian,46,pca4,0.6513800769351891,1.5180639411230958e-06,1.0344872171409643
ar1_gaussian,46,structured_q0,0.6478740917199457,1.516320436274389e-06,0.9633177138877737
ar1_gaussian,46,residual_qr_50,0.6480316128640613,1.5573373232702332e-06,0.9925701132633151
ar1_gaussian,47,sample,0.5046006504135909,2.087373810116723e-06,1.1913595633619174
ar1_gaussian,47,ledoit_wolf,0.49494473229428787,2.0540430107591796e-06,1.1157144976432545
ar1_gaussian,47,oas,0.4939916726320137,2.0504266155872365e-06,1.107128258156582
ar1_gaussian,47,pca4,0.5119336664002281,1.8187306276129447e-06,1.0390613704616813
ar1_gaussian,47,structured_q0,0.5043264097263519,1.813349453052992e-06,0.9656884624066195
ar1_gaussian,47,residual_qr_50,0.5043082194736193,1.8767006618050198e-06,1.0052129166347241
ar1_gaussian,48,sample,0.5680083286427968,1.5868541041222846e-06,0.9722704750462261
ar1_gaussian,48,ledoit_wolf,0.5663907738629879,1.5678671603185963e-06,0.9034321842871175
ar1_gaussian,48,oas,0.5661960472963422,1.5653284769737961e-06,0.8936351165056071
ar1_gaussian,48,pca4,0.5668065797970708,1.5096587859549981e-06,0.8558737748726076
