training_days,fold_id,date,method,gross_return
504,9,2016-12-27,ridge_10pct,0.0030703405224223
504,9,2016-12-28,ridge_10pct,-0.005156880811218726
504,9,2016-12-29,ridge_10pct,0.005109945457124263
504,9,2016-12-30,ridge_10pct,-0.004527817272658316
504,9,2017-01-03,ridge_10pct,0.0012462426877356712
504,9,2017-01-04,ridge_10pct,0.008612404666267984
504,9,2017-01-05,ridge_10pct,0.0027949779663500483
504,9,2017-01-06,ridge_10pct,0.004857983371764055
504,9,2017-01-09,ridge_10pct,-0.005288340116372087
504,9,2017-01-10,ridge_10pct,-0.00016562374905378042
504,9,2017-01-11,ridge_10pct,-0.0010615709672087362
504,9,2017-01-12,ridge_10pct,0.006042107562044829
504,9,2017-01-13,ridge_10pct,0.003104948588730238
504,9,2017-01-17,ridge_10pct,0.005782118364192359
504,9,2017-01-18,ridge_10pct,0.003711465802118478
504,9,2017-01-19,ridge_10pct,-0.001465526213706611
504,9,2017-01-20,ridge_10pct,-0.0012181000436083196
504,9,2017-01-23,ridge_10pct,-0.00028116734430748685
504,9,2017-01-24,ridge_10pct,-0.003839389598780667
504,9,2017-01-25,ridge_10pct,0.0006587642210604211
504,9,2017-01-26,ridge_10pct,0.004322462324868122
504,9,2017-01-27,ridge_10pct,-0.0007135592523788599
504,9,2017-01-30,ridge_10pct,0.001040603942469158
504,9,2017-01-31,ridge_10pct,0.01058685952706246
504,9,2017-02-01,ridge_10pct,-0.006203945283198734
504,9,2017-02-02,ridge_10pct,0.004754907693607813
504,9,2017-02-03,ridge_10pct,-0.0035121951611429897
504,9,2017-02-06,ridge_10pct,-0.0014791035870015965
504,9,2017-02-07,ridge_10pct,0.003672504399325767
504,9,2017-02-08,ridge_10pct,0.0029763585195468545
504,9,2017-02-09,ridge_10pct,0.004246275575637908
504,9,2017-02-10,ridge_10pct,-0.0014035930944294676
504,9,2017-02-13,ridge_10pct,0.003975419053503554
504,9,2017-02-14,ridge_10pct,-8.6637567410051e-06
504,9,2017-02-15,ridge_10pct,0.0036312356465252986
504,9,2017-02-16,ridge_10pct,0.005023516765385883
504,9,2017-02-17,ridge_10pct,0.008726708910006344
504,9,2017-02-22,ridge_10pct,0.0018424544539698189
504,9,2017-02-23,ridge_10pct,-0.0016201096028318504
504,9,2017-02-24,ridge_10pct,0.006648748063296483
504,9,2017-02-27,ridge_10pct,0.0008006262841168838
504,9,2017-02-28,ridge_10pct,-0.001969786113643599
504,9,2017-03-01,ridge_10pct,0.0016881017107793512
504,9,2017-03-02,ridge_10pct,-0.005809727713619164
504,9,2017-03-03,ridge_10pct,-0.0047522009648545424
504,9,2017-03-06,ridge_10pct,-0.0047359118585757745
504,9,2017-03-07,ridge_10pct,-0.0011712275279162983
504,9,2017-03-08,ridge_10pct,-0.0015197825505986829
504,9,2017-03-09,ridge_10pct,8.328145232752037e-05
504,9,2017-03-10,ridge_10pct,0.003964837134860729
504,9,2017-03-13,ridge_10pct,0.005942393987364035
504,9,2017-03-14,ridge_10pct,0.0009896616984701873
504,9,2017-03-15,ridge_10pct,0.0037073497023622356
504,9,2017-03-16,ridge_10pct,-0.010336283019612522
504,9,2017-03-17,ridge_10pct,0.014472025671351734
504,9,2017-03-20,ridge_10pct,0.0031956520863720924
504,9,2017-03-21,ridge_10pct,-0.003976625064557416
504,9,2017-03-22,ridge_10pct,0.007641495084659958
504,9,2017-03-23,ridge_10pct,0.001466125847776485
504,9,2017-03-24,ridge_10pct,-0.0018598437077171764
504,9,2017-03-27,ridge_10pct,-0.0021087312343074072
504,9,2017-03-28,ridge_10pct,0.002638641566746032
504,9,2017-03-29,ridge_10pct,0.0051947088309371005
504,9,2017-03-30,ridge_10pct,-0.004362768687466775
504,9,2017-03-31,ridge_10pct,-0.000374616406345541
504,9,2017-04-03,ridge_10pct,-0.001275197171103951
